"Iniitials","Date","Course_ID","Time(m)","Summary"
"JDD","1/10/2022","DS160-01","5","Created Timesheet Spreadsheet"
"JDD","1/10/2022","DS160-01","30","Read from the textbook"
"JDD","1/10/2022","BUSA203-01","15","Read from the textbook"
"JDD","1/10/2022","ECON232-01","20","Read from the textbook"
"JDD","1/10/2022","ECON232-01","30","Reviewed material from ECON112"
"JDD","1/10/2022","ACCT101-01","120","Read from the textbook and completed homework"
"JDD","1/12/2022","BUSA203-01","20","Read from the textbook"
"JDD","1/15/2022","ECON232-01","130","Studied for quiz"
"JDD","1/17/2022","ACCT101-01","140","Studied for quiz"
